timestamp,open,high,low,close,volume
2021-04-09 19:50:00,553.7700,553.7700,553.7700,553.7700,924
2021-04-09 19:49:00,553.7700,553.7700,553.7700,553.7700,300
2021-04-09 19:45:00,554.9999,554.9999,554.9999,554.9999,920
2021-04-09 19:30:00,554.4400,554.4400,554.4400,554.4400,100
2021-04-09 19:29:00,554.6200,554.6200,554.5100,554.5100,682
2021-04-09 18:04:00,555.0000,555.0000,555.0000,555.0000,319
2021-04-09 18:01:00,554.6000,554.6000,554.6000,554.6000,301
2021-04-09 17:58:00,555.0600,555.0600,555.0600,555.0600,483
2021-04-09 17:37:00,555.1600,555.1600,555.1600,555.1600,231
2021-04-09 17:14:00,555.2300,555.2300,555.2000,555.2000,2733
2021-04-09 17:13:00,554.9400,555.3100,554.9400,555.2000,7243
2021-04-09 17:08:00,554.9400,554.9400,554.9400,554.9400,157
2021-04-09 16:52:00,555.0500,555.0500,555.0000,555.0000,803
2021-04-09 16:51:00,555.1700,556.2000,555.1700,556.2000,1879
2021-04-09 16:49:00,554.9800,554.9800,554.9800,554.9800,337
2021-04-09 16:46:00,554.9000,554.9000,554.9000,554.9000,758
2021-04-09 16:45:00,554.8100,554.8100,554.7900,554.7900,360
2021-04-09 16:42:00,554.9500,554.9500,554.9500,554.9500,472
2021-04-09 16:19:00,554.7600,554.8600,554.7600,554.7600,662
2021-04-09 16:18:00,554.7600,554.7600,554.7600,554.7600,622
2021-04-09 16:12:00,554.8000,555.2000,554.8000,555.1900,3738
2021-04-09 16:11:00,554.4900,554.7000,554.4900,554.6000,2916
2021-04-09 16:08:00,554.5300,554.5300,554.5300,554.5300,264
2021-04-09 16:03:00,555.3100,555.3100,552.8568,552.8568,42280
2021-04-09 16:02:00,555.3100,555.3100,554.6500,555.3100,21373
2021-04-09 16:01:00,555.3100,555.3100,554.8800,555.3100,50352
2021-04-09 16:00:00,554.6500,555.5100,554.5200,555.2200,74729
2021-04-09 15:59:00,554.7800,554.8200,554.3500,554.6700,42676
2021-04-09 15:58:00,554.9000,555.1400,554.7100,554.8400,18762
2021-04-09 15:57:00,555.2000,555.3000,554.9000,554.9000,17738
2021-04-09 15:56:00,555.4800,555.5400,555.2100,555.2150,33160
2021-04-09 15:55:00,555.1507,555.6000,554.7450,555.4300,43217
2021-04-09 15:54:00,555.2700,555.4481,555.1100,555.1900,12686
2021-04-09 15:53:00,555.2600,555.3400,555.0700,555.1600,11449
2021-04-09 15:52:00,555.4100,555.4600,555.2100,555.2100,13913
2021-04-09 15:51:00,555.2800,555.6599,555.0200,555.4900,12997
2021-04-09 15:50:00,555.0100,555.3850,554.9300,555.3100,10319
2021-04-09 15:49:00,555.0074,555.2500,554.8800,555.0500,9970
2021-04-09 15:48:00,555.1600,555.4800,555.0000,555.0500,8877
2021-04-09 15:47:00,555.1450,555.3500,555.0200,555.1100,8144
2021-04-09 15:46:00,554.8000,555.1600,554.8000,555.1400,6368
2021-04-09 15:45:00,555.2300,555.4400,554.9400,554.9400,8276
2021-04-09 15:44:00,555.2400,555.4999,555.2400,555.3300,11040
2021-04-09 15:43:00,555.1950,555.2400,555.0000,555.2100,7543
2021-04-09 15:42:00,554.7800,555.2200,554.7800,555.1950,6303
2021-04-09 15:41:00,555.1750,555.1750,554.7100,554.7300,12043
2021-04-09 15:40:00,555.5200,555.5200,555.0200,555.1350,12581
2021-04-09 15:39:00,555.5600,555.6600,555.3817,555.5250,7075
2021-04-09 15:38:00,555.4100,555.6500,555.3200,555.5500,12037
2021-04-09 15:37:00,554.9500,555.3600,554.7400,555.3200,9022
2021-04-09 15:36:00,554.8700,555.2300,554.8200,555.0000,10780
2021-04-09 15:35:00,554.5000,554.7800,554.4600,554.7800,6973
2021-04-09 15:34:00,554.5500,554.6350,554.5400,554.6350,3578
2021-04-09 15:33:00,554.1800,554.5400,554.1100,554.5400,6864
2021-04-09 15:32:00,554.5500,554.5600,554.1700,554.1800,6261
2021-04-09 15:31:00,554.7083,554.8100,554.4700,554.5700,12748
2021-04-09 15:30:00,554.4800,554.6900,554.4800,554.6900,4685
2021-04-09 15:29:00,554.6300,554.6800,554.3500,554.5700,7129
2021-04-09 15:28:00,554.6550,554.6550,554.4568,554.6200,4064
2021-04-09 15:27:00,554.5750,554.6300,554.3400,554.6300,5008
2021-04-09 15:26:00,554.5515,554.7000,554.4500,554.5100,6356
2021-04-09 15:25:00,554.3600,554.6584,554.3600,554.6100,2403
2021-04-09 15:24:00,554.3750,554.6000,554.3500,554.3500,4508
2021-04-09 15:23:00,554.3400,554.4200,554.1600,554.3700,4962
2021-04-09 15:22:00,554.2200,554.3500,554.2000,554.2900,5327
2021-04-09 15:21:00,554.1900,554.2500,554.0300,554.1200,3513
2021-04-09 15:20:00,554.1100,554.2300,554.0700,554.0800,3728
2021-04-09 15:19:00,554.0178,554.2100,554.0000,554.0400,3640
2021-04-09 15:18:00,553.9900,554.1781,553.9900,554.1100,4341
2021-04-09 15:17:00,553.7800,554.0100,553.7800,553.9800,3797
2021-04-09 15:16:00,553.6800,554.1300,553.6800,553.8650,5906
