Date	Sales Per Share
10/29/1989	16.0
10/29/1990	17.3
10/29/1991	15.4
10/29/1992	15.2
10/29/1993	16.7
10/29/1994	17.4
10/29/1995	19.8
10/29/1996	21.6
10/29/1997	25.2
10/29/1998	28.4
10/29/1999	25.2
10/29/2000	28.0
10/29/2001	28.3
10/29/2002	29.3
10/29/2003	32.3
10/29/2004	38.8
10/29/2005	43.5
10/29/2006	47.4
10/29/2007	53.6
10/29/2008	66.0
10/29/2009	54.7
10/29/2010	61.3
10/29/2011	76.7
10/29/2012	91.1
10/29/2013	98.1
10/29/2014	99.4
10/29/2015	86.5
10/29/2016	84.5
10/29/2017	93.1

