Date	Earnings Per Share
06/30/1993	-0.24
06/30/1994	0.81
06/30/1995	0.96
06/30/1996	1.11
06/30/1997	1.26
06/30/1998	1.41
06/30/1999	1.43
06/30/2000	1.36
06/30/2001	1.13
06/30/2002	1.67
06/30/2003	2.00
06/30/2004	2.55
06/30/2005	2.80
06/30/2006	2.73
06/30/2007	3.30
06/30/2008	3.98
06/30/2009	4.61
06/30/2010	4.48
06/30/2011	4.27
06/30/2012	3.91
06/30/2013	4.13
06/30/2014	4.29
06/30/2015	2.59
06/30/2016	3.94
06/30/2017	6.01
06/30/2018	3.86
06/30/2019	1.56
06/30/2020	5.24

