Date	Book-Value Per Share
06/30/1993	2.73
06/30/1994	3.23
06/30/1995	3.85
06/30/1996	4.27
06/30/1997	4.46
06/30/1998	4.58
06/30/1999	4.57
06/30/2000	4.70
06/30/2001	4.63
06/30/2002	5.27
06/30/2003	6.24
06/30/2004	6.79
06/30/2005	7.07
06/30/2006	19.79
06/30/2007	21.32
06/30/2008	22.91
06/30/2009	21.63
06/30/2010	21.61
06/30/2011	24.58
06/30/2012	23.30
06/30/2013	25.06
06/30/2014	25.81
06/30/2015	23.22
06/30/2016	21.72
06/30/2017	21.87
06/30/2018	20.91
06/30/2019	19.00
06/30/2020	18.85

