Series ID,Year,Period,Label,Value
CUUR0000SA0,1920,M01,1920 Jan,19.3
CUUR0000SA0,1920,M02,1920 Feb,19.5
CUUR0000SA0,1920,M03,1920 Mar,19.7
CUUR0000SA0,1920,M04,1920 Apr,20.3
CUUR0000SA0,1920,M05,1920 May,20.6
CUUR0000SA0,1920,M06,1920 Jun,20.9
CUUR0000SA0,1920,M07,1920 Jul,20.8
CUUR0000SA0,1920,M08,1920 Aug,20.3
CUUR0000SA0,1920,M09,1920 Sep,20.0
CUUR0000SA0,1920,M10,1920 Oct,19.9
CUUR0000SA0,1920,M11,1920 Nov,19.8
CUUR0000SA0,1920,M12,1920 Dec,19.4
CUUR0000SA0,1921,M01,1921 Jan,19.0
CUUR0000SA0,1921,M02,1921 Feb,18.4
CUUR0000SA0,1921,M03,1921 Mar,18.3
CUUR0000SA0,1921,M04,1921 Apr,18.1
CUUR0000SA0,1921,M05,1921 May,17.7
CUUR0000SA0,1921,M06,1921 Jun,17.6
CUUR0000SA0,1921,M07,1921 Jul,17.7
CUUR0000SA0,1921,M08,1921 Aug,17.7
CUUR0000SA0,1921,M09,1921 Sep,17.5
CUUR0000SA0,1921,M10,1921 Oct,17.5
CUUR0000SA0,1921,M11,1921 Nov,17.4
CUUR0000SA0,1921,M12,1921 Dec,17.3
CUUR0000SA0,1922,M01,1922 Jan,16.9
CUUR0000SA0,1922,M02,1922 Feb,16.9
CUUR0000SA0,1922,M03,1922 Mar,16.7
CUUR0000SA0,1922,M04,1922 Apr,16.7
CUUR0000SA0,1922,M05,1922 May,16.7
CUUR0000SA0,1922,M06,1922 Jun,16.7
CUUR0000SA0,1922,M07,1922 Jul,16.8
CUUR0000SA0,1922,M08,1922 Aug,16.6
CUUR0000SA0,1922,M09,1922 Sep,16.6
CUUR0000SA0,1922,M10,1922 Oct,16.7
CUUR0000SA0,1922,M11,1922 Nov,16.8
CUUR0000SA0,1922,M12,1922 Dec,16.9
CUUR0000SA0,1923,M01,1923 Jan,16.8
CUUR0000SA0,1923,M02,1923 Feb,16.8
CUUR0000SA0,1923,M03,1923 Mar,16.8
CUUR0000SA0,1923,M04,1923 Apr,16.9
CUUR0000SA0,1923,M05,1923 May,16.9
CUUR0000SA0,1923,M06,1923 Jun,17.0
CUUR0000SA0,1923,M07,1923 Jul,17.2
CUUR0000SA0,1923,M08,1923 Aug,17.1
CUUR0000SA0,1923,M09,1923 Sep,17.2
CUUR0000SA0,1923,M10,1923 Oct,17.3
CUUR0000SA0,1923,M11,1923 Nov,17.3
CUUR0000SA0,1923,M12,1923 Dec,17.3
CUUR0000SA0,1924,M01,1924 Jan,17.3
CUUR0000SA0,1924,M02,1924 Feb,17.2
CUUR0000SA0,1924,M03,1924 Mar,17.1
CUUR0000SA0,1924,M04,1924 Apr,17.0
CUUR0000SA0,1924,M05,1924 May,17.0
CUUR0000SA0,1924,M06,1924 Jun,17.0
CUUR0000SA0,1924,M07,1924 Jul,17.1
CUUR0000SA0,1924,M08,1924 Aug,17.0
CUUR0000SA0,1924,M09,1924 Sep,17.1
CUUR0000SA0,1924,M10,1924 Oct,17.2
CUUR0000SA0,1924,M11,1924 Nov,17.2
CUUR0000SA0,1924,M12,1924 Dec,17.3
CUUR0000SA0,1925,M01,1925 Jan,17.3
