Date	Earnings Per Share
12/31/1989	0.86
12/31/1990	1.04
12/31/1991	1.26
12/31/1992	1.43
12/31/1993	1.47
12/31/1994	1.57
12/31/1995	1.12
12/31/1996	1.25
12/31/1997	1.36
12/31/1998	1.23
12/31/1999	0.83
12/31/2000	1.45
12/31/2001	1.17
12/31/2002	1.77
12/31/2003	1.93
12/31/2004	2.16
12/31/2005	2.38
12/31/2006	2.53
12/31/2007	2.79
12/31/2008	3.01
12/31/2009	3.17
12/31/2010	3.42
12/31/2011	2.39
12/31/2012	2.68
12/31/2013	4.98
12/31/2014	1.77
12/31/2015	1.75
12/31/2016	1.98
12/31/2017	3.67

