Date	Sales Per Share
09/30/1994	6.17
09/30/1995	7.64
09/30/1996	10.09
09/30/1997	11.13
09/30/1998	11.29
09/30/1999	11.37
09/30/2000	12.21
09/30/2001	12.07
09/30/2002	12.42
09/30/2003	13.25
09/30/2004	15.01
09/30/2005	15.47
09/30/2006	16.83
09/30/2007	17.72
09/30/2008	20.02
09/30/2009	19.28
09/30/2010	19.54
09/30/2011	21.42
09/30/2012	23.57
09/30/2013	25.13
09/30/2014	28.05
09/30/2015	30.97
09/30/2016	34.15
09/30/2017	35.16

