Date	Earnings Per Share
12/31/1990	1.19
12/31/1991	1.20
12/31/1992	1.27
12/31/1993	1.39
12/31/1994	1.55
12/31/1995	1.68
12/31/1996	1.81
12/31/1997	1.90
12/31/1998	1.98
12/31/1999	2.11
12/31/2000	2.20
12/31/2001	1.71
12/31/2002	-0.16
12/31/2003	1.92
12/31/2004	2.25
12/31/2005	2.50
12/31/2006	2.76
12/31/2007	2.98
12/31/2008	2.91
12/31/2009	2.50
12/31/2010	3.01
12/31/2011	3.58
12/31/2012	4.15
12/31/2013	4.39
12/31/2014	4.60
12/31/2015	4.63
12/31/2016	4.59
12/31/2017	4.18

