Date	Earnings Per Share
05/27/1990	0.58
05/27/1991	0.72
05/27/1992	0.75
05/27/1993	0.78
05/27/1994	0.74
05/27/1995	0.58
05/27/1996	0.75
05/27/1997	0.70
05/27/1998	0.67
05/27/1999	0.87
05/27/2000	1.03
05/27/2001	1.17
05/27/2002	0.69
05/27/2003	1.24
05/27/2004	1.41
05/27/2005	1.67
05/27/2006	1.52
05/27/2007	1.65
05/27/2008	1.94
05/27/2009	1.96
05/27/2010	2.32
05/27/2011	2.80
05/27/2012	2.42
05/27/2013	2.86
05/27/2014	2.98
05/27/2015	2.04
05/27/2016	2.84
05/27/2017	2.87
05/27/2018	3.59

