Date	Book-Value Per Share
10/29/1992	5.79
10/29/1993	4.50
10/29/1994	4.95
10/29/1995	5.92
10/29/1996	6.83
10/29/1997	8.17
10/29/1998	8.38
10/29/1999	8.79
10/29/2000	9.18
10/29/2001	8.49
10/29/2002	6.64
10/29/2003	8.33
10/29/2004	12.93
10/29/2005	14.08
10/29/2006	16.05
10/29/2007	15.93
10/29/2008	15.15
10/29/2009	11.40
10/29/2010	14.83
10/29/2011	16.29
10/29/2012	17.23
10/29/2013	26.64
10/29/2014	24.98
10/29/2015	20.26
10/29/2016	20.69
10/29/2017	29.91

