Date	Dividend
03/31/2016	1.173
04/30/2016	0.473
05/31/2016	0.912
06/30/2016	1.053
07/31/2016	0.428
08/31/2016	0.997
09/30/2016	1.001
10/31/2016	0.443
11/30/2016	1.204
12/31/2016	1.413
01/31/2017	0.431
02/28/2017	0.995
03/31/2017	1.271
04/30/2017	0.414
05/31/2017	1.104
06/30/2017	1.23
07/31/2017	0.519
08/31/2017	1.034
09/30/2017	1.19
10/31/2017	0.522
11/30/2017	1.16
12/31/2017	1.773
01/31/2018	0.5581
02/28/2018	0.91
03/31/2018	1.6447
04/30/2018	0.6261
05/31/2018	1.153
06/30/2018	1.4632

