Date	Book-Value Per Share
12/31/1990	5.98
12/31/1991	6.52
12/31/1992	7.08
12/31/1993	7.77
12/31/1994	8.20
12/31/1995	8.97
12/31/1996	9.52
12/31/1997	10.33
12/31/1998	11.41
12/31/1999	12.17
12/31/2000	12.92
12/31/2001	13.48
12/31/2002	12.17
12/31/2003	13.29
12/31/2004	14.45
12/31/2005	15.72
12/31/2006	15.18
12/31/2007	16.37
12/31/2008	14.68
12/31/2009	16.43
12/31/2010	17.49
12/31/2011	17.43
12/31/2012	19.28
12/31/2013	21.53
12/31/2014	21.45
12/31/2015	20.71
12/31/2016	21.41
12/31/2017	23.45

