Date	Book-Value Per Share
12/31/1993	1.98
12/31/1994	2.55
12/31/1995	3.21
12/31/1996	3.69
12/31/1997	4.19
12/31/1998	4.57
12/31/1999	4.73
12/31/2000	5.42
12/31/2001	7.99
12/31/2002	7.57
12/31/2003	9.05
12/31/2004	10.72
12/31/2005	13.02
12/31/2006	13.39
12/31/2007	15.03
12/31/2008	15.17
12/31/2009	18.33
12/31/2010	20.57
12/31/2011	20.86
12/31/2012	23.55
12/31/2013	31.95
12/31/2014	31.84
12/31/2015	25.79
12/31/2016	25.96
12/31/2017	22.42

