2003-04-30	13.44
2003-05-31	13.45
2003-06-30	14.26
2003-08-31	15.83
2003-09-30	16.11
2003-10-31	17.33
2003-12-31	19.33
2004-01-31	19.09
2004-02-29	18.12
2004-03-31	18.62
2004-05-31	16.75
2004-06-30	17.48
2004-07-31	15.95
2004-08-31	15.92
2004-09-30	16.57
2004-10-31	16.81
2004-11-30	15.67
2004-12-31	16.4
2005-01-31	15.79
2005-02-28	16.53
2005-03-31	16.44
2005-04-30	16.14
2005-05-31	15.07
2005-06-30	14.79
2005-07-31	15.19
2005-08-31	16.33
2005-09-30	18.29
2005-10-31	18.63
2005-11-30	18.42
2005-12-31	17.26
2006-01-31	24.67
2006-02-28	17.98
2006-03-31	25.86
2006-04-30	26.43
2006-05-31	18.93
2006-06-30	18.68
2006-07-31	19.79
2006-08-31	20.42
2006-09-30	18.61
2006-10-31	19.36
2006-11-30	19.86
2006-12-31	19.4
2007-01-31	18.52
2007-02-28	18.87
2007-03-31	19.9
2007-04-30	19.3
2007-05-31	20.08
2007-06-30	20.51
2007-07-31	21.05
2007-08-31	21.32
2007-09-30	21.84
2007-10-31	23.48
2007-11-30	23.38
2007-12-31	22.76
2008-01-31	22.12
2008-02-29	22.59
2008-03-31	22.27
2008-04-30	24.52
2008-05-31	23.5
2008-06-30	23.42
2008-07-31	22.81
2008-08-31	23.16
2008-09-30	22.12
2008-10-31	20.27
2008-11-30	21.02
2008-12-31	20.52
2009-01-31	21.46
2009-02-28	20.38
2009-03-31	20.74
2009-04-30	22.37
2009-05-31	22.26
2009-10-31	31.58
2009-11-30	30.15
2009-12-31	29.52
2010-01-31	29.63
2010-02-28	29.98
2010-04-30	33.36
2010-05-31	30.85
2010-06-30	30.48
2010-07-31	32.97
2010-08-31	32.67
2010-09-30	34.38
2010-10-31	34.62
2010-11-30	35.86
2010-12-31	37.74
2011-01-31	35.62
2011-02-28	34.7
2011-03-31	33.16
2011-04-30	36.96
2011-05-31	37.26
2011-06-30	37.77
2011-07-31	38.15
2011-08-31	38.48
2011-09-30	36.02
2011-10-31	39.3
2011-11-30	37.51
2011-12-31	36.74
2012-01-31	37.56
2012-02-29	37.38
2012-03-31	36.15
2012-04-30	40.11
2012-05-31	38.41
2012-06-30	39.07
2012-07-31	38.23
2012-08-31	39.22
2012-09-30	41.97
2012-10-31	37.87
2012-11-30	37.65
2012-12-31	36.02
2013-01-31	38.71
2013-02-28	37.83
2013-03-31	36.77
2013-04-30	45.79
2013-05-31	38.4
2013-06-30	34.57
2013-07-31	36.92
2013-08-31	36.96
2013-09-30	37.55
2013-10-31	37.97
2013-11-30	37.39
2013-12-31	35.3
2014-01-31	34.75
2014-02-28	35.51
2014-03-31	35.63
2014-04-30	39.92
2014-05-31	40.52
2014-06-30	39.76
2014-07-31	36.78
2014-08-31	36.98
2014-09-30	34.21
2014-10-31	35.18
2014-11-30	34.51
2014-12-31	32.99
2015-01-31	32.09
2015-02-28	33.32
2015-03-31	31.79
2015-04-30	32.41
2015-05-31	31.08
2015-06-30	32.23
2015-07-31	31.72
2015-08-31	30.72
2015-09-30	30.92
2015-10-31	33.12
2015-11-30	30.11
2015-12-31	28.23
2016-01-31	26.84
2016-02-29	27.52
2016-03-31	29.53
2016-04-30	29.94
2016-05-31	28.31
2016-06-30	27.56
2016-07-31	29.4
2016-08-31	28.05
2016-09-30	27.96
2016-10-31	27.6
2016-11-30	26.91
2016-12-31	26.66
2017-01-31	27.28
2017-02-28	27.7
2017-03-31	27.78
2017-04-30	28.18
2017-05-31	28.59
2017-06-30	28.53
2017-07-31	29.01
2017-08-31	29.64
2017-09-30	29.12
2017-10-31	28.97
2017-11-30	32.03
2017-12-31	32.46
2018-01-31	32.67
2018-02-28	32.6
2018-03-31	32.17
2018-04-30	33.39
2018-05-31	33.62
2018-06-30	31.54
2018-07-31	32.7
2018-08-31	31.79
2018-09-30	32.34
2018-10-31	32.45
2018-11-30	33.77
2018-12-31	32.11
2019-01-31	33.79
2019-02-28	33.57
